occupation,gender,category,income,area_type,disability,scheme_name,official_link,req,min_age,max_age,mode_of_application,Description,Required_Documents
Homemaker,Male,ST,29311,Urban,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Homemaker,Female,General,48698,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Homemaker,Other,General,5527,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Farmer,Other,ST,22882,Rural,Yes,Tamil Nadu Kalaignar Sports Kit Scheme,https://www.tnsports.org.in/webapp/kalaigar_sports_kit.aspx,,12,18,tnsports.org.in,Sports kits for rural school students.,"School ID, Sports participation cert, Aadhar"
Farmer,Male,OBC,24066,Rural,Yes,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Student,Other,General,45583,Rural,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Student,Other,OBC,12007,Urban,Yes,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
Homemaker,Other,OBC,11680,Urban,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Male,OBC,43837,Urban,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Student,Male,ST,23024,Urban,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Self-employed,Other,SC,18276,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Self-employed,Female,ST,19982,Rural,Yes,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Homemaker,Other,OBC,39669,Rural,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Unemployed,Other,ST,31020,Rural,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Self-employed,Female,General,47602,Urban,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Farmer,Female,OBC,14226,Rural,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Student,Male,SC,47391,Urban,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Self-employed,Other,General,26477,Urban,No,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Homemaker,Male,General,24225,Rural,Yes,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Farmer,Male,ST,44223,Urban,Yes,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Farmer,Female,General,24896,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Unemployed,Female,OBC,21590,Rural,Yes,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Homemaker,Female,General,18985,Urban,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Student,Female,SC,25093,Rural,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Student,Other,OBC,40240,Urban,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Homemaker,Male,SC,31359,Urban,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Other,General,16808,Rural,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Employee,Other,ST,32324,Rural,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Student,Other,ST,42517,Rural,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Farmer,Other,OBC,10364,Rural,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Homemaker,Female,SC,28082,Rural,Yes,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Unemployed,Other,OBC,48026,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Self-employed,Other,ST,43091,Rural,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Homemaker,Other,OBC,10195,Rural,No,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Other,General,19690,Urban,No,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Homemaker,Male,OBC,33406,Rural,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Homemaker,Male,General,33034,Rural,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Student,Other,SC,22156,Rural,Yes,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Homemaker,Female,ST,37537,Rural,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Employee,Female,SC,20229,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Student,Female,OBC,8291,Rural,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Unemployed,Male,SC,29243,Urban,Yes,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Unemployed,Female,OBC,12817,Urban,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Other,SC,40395,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Farmer,Female,SC,26994,Urban,No,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Student,Other,ST,21055,Urban,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Employee,Female,OBC,7442,Urban,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Farmer,Male,OBC,22575,Urban,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Unemployed,Male,OBC,15184,Rural,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Other,OBC,12121,Rural,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Unemployed,Female,General,29016,Urban,Yes,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Homemaker,Other,SC,20789,Rural,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Employee,Female,General,37521,Rural,Yes,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Student,Other,OBC,12819,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Unemployed,Male,SC,26815,Rural,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Unemployed,Other,OBC,35578,Urban,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Self-employed,Female,OBC,9127,Rural,Yes,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Employee,Other,ST,38500,Rural,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Student,Female,SC,41532,Rural,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Farmer,Male,General,28222,Urban,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Homemaker,Female,OBC,14657,Rural,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Self-employed,Male,General,29877,Rural,Yes,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Unemployed,Male,ST,26018,Urban,No,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Self-employed,Female,SC,43409,Urban,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Employee,Female,General,40633,Urban,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Farmer,Other,OBC,41400,Rural,No,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Self-employed,Female,SC,16140,Rural,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Other,OBC,17002,Rural,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Self-employed,Other,SC,16727,Rural,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Unemployed,Other,General,38172,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Self-employed,Female,OBC,12821,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Employee,Female,ST,41416,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Other,OBC,47446,Rural,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Farmer,Male,SC,44457,Rural,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Employee,Other,General,33398,Rural,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Employee,Male,General,47482,Urban,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
